term	ttf	df
建 	230211159	1139224
town 	229682887	6741847
review 	229595107	7890933
itself 	229045271	8210187
hatte 	228854059	1889147
considered 	228332806	8582757
record 	228326523	8066372
ل 	228272168	343865
よう 	228156969	489580
何 	227984317	1128999
self 	227889027	8186993
away 	227856259	7929533
range 	227707017	8738379
常 	227680320	1163987
eines 	227518721	2450821
tous 	227053766	3129612
species 	226814928	5081220
но 	226561423	964644
condition 	225991923	9111562
海 	225668962	1161650
reason 	225643662	8342685
parte 	225305179	3904717
nothing 	225022939	7307871
保 	224882635	1134611
complete 	224419553	10104397
150 	224395772	12819777
meeting 	224373145	7574618
安 	224202078	1169437
below 	224128094	9507946
村 	223773366	1120159
れて 	223668651	520604
hours 	223381899	7436388
standard 	223032316	8483365
るこ 	222672774	509382
sobre 	222638133	2247253
increased 	222448728	7792145
には 	222218140	531413
effects 	222214622	7390784
model 	222039406	6757921
mehr 	221975877	2114547
集 	221791907	1146874
points 	221717729	9276703
faire 	221687581	3094169
fall 	221567910	9893540
brought 	221443200	8007788
authority 	221413753	6692733
child 	221412033	6195389
ll 	221411443	8530203
lines 	221301725	8306228
whom 	221145532	7205573
gen 	221110464	9105878
face 	220908702	9514395
先 	220778517	1152155
countries 	220640942	6254055
動 	220634221	882217
rule 	220492829	7445924
already 	220430876	8314619
至 	220308646	1136502
equipment 	220116049	5570099
业 	220106148	415137
canada 	219892341	6152368
rates 	219519862	6368161
れた 	219479069	513790
october 	219305371	7359453
ill 	219138164	9295898
room 	219003644	7760821
att 	218970273	1871274
sous 	218566997	3242374
史 	218414742	1131433
ils 	218234501	2985543
article 	218198237	7223680
library 	218185861	10537376
why 	218153381	7680720
oo 	217671870	7153313
industrial 	217390670	6280242
dit 	217155666	3432452
时 	217148769	607288
solution 	217082612	7276124
fire 	217064292	7008729
形 	216650567	1154171
direct 	216364896	9379611
chief 	216364288	7424423
mean 	216341790	7986570
και 	216098578	155133
id 	215950051	7407366
methods 	215948222	7604945
opinion 	215662370	8583671
sub 	215300905	10547869
future 	215291815	9221203
__ 	214978025	6551918
materials 	214867985	7758173
女 	214560890	1149321
took 	214497474	7517580
allfieldsProper:nrlf 	214385495	4625598
allfields:nrlf 	214385495	4625598
contract 	214361039	5653690
解 	214299546	1148250
aussi 	214236825	2175586
pero 	214209118	2219883
一一 	214046286	1097492
ان 	213875883	359602
issue 	213784885	7620123
length 	213763767	7764461
120 	213698169	13049439
ほ 	213444265	616638
past 	213107629	8793787
場 	212896642	863338
川 	212844370	1152706
王 	212677062	1131682
fine 	212606687	9327014
tel 	212582910	5414203
れる 	212555633	514476
nov 	212533942	5859283
personal 	212215536	8919786
02 	212069739	6459433
schools 	211860341	5741034
described 	211814370	7882410
られ 	211804286	510361
れは 	211785425	517954
respect 	211745733	8927278
rev 	211656309	5921840
取 	211505524	1143502
design 	210898268	6693521
ltd 	210428332	3963614
特 	210156243	1161276
letter 	210148524	7043718
как 	210061090	651019
insurance 	209954116	4044863
pressure 	209557236	6295316
比 	209204610	1154764
研 	208889504	1064083
net 	208664531	8541969
french 	208531494	6522921
community 	208416771	6480650
addition 	208219812	8982010
reported 	208060312	7041329
御 	207771594	1057104
index 	207643140	7550170
doch 	207634722	2139056
да 	207338977	969996
distribution 	207293095	7808307
ve 	207244676	7544127
original 	207197888	10615131
ihm 	207168334	2096291
november 	207097920	7968285
現 	207029406	879679
wo 	206404572	6602633
civil 	206332186	7724717
saint 	206320375	5685140
sehr 	206260315	2009275
究 	205945848	1100997
ze 	205659009	3584105
神 	205633554	1164944
piu 	205629433	1250287
发 	205624006	479804
dann 	205463479	2176841
alla 	205264811	3059036
quite 	205208401	8261669
schon 	205194566	2215756
mind 	205129120	7677030
corporation 	204623205	5265005
col 	204268580	8408927
それ 	204085730	507319
word 	204021527	7310813
source 	204014325	9166303
experience 	203955840	8736705
supply 	203709555	7443233
groups 	203476541	7171726
его 	203394700	726151
center 	203382355	6214260
books 	203307077	8163626
working 	203232490	8123413
follows 	203206626	8127885
million 	203205370	6567812
101 	203160379	12755656
avait 	203137061	1749741
notes 	203006833	8641279
box 	203003047	6560979
generally 	202867630	8209460
sent 	202859725	9091414
向 	202812105	1141085
cum 	202808966	4473440
laws 	202768985	6719860
henry 	202240344	7106028
themselves 	202161982	7917018
03 	201902374	6481714
normal 	201894313	8591714
iron 	201880860	6364319
went 	201857619	6736339
etait 	201788822	1850152
values 	201548845	6122175
zeit 	201519079	2773846
ob 	201464382	9379155
dan 	201459432	6889536
对 	201239361	530838
manner 	201186946	9040100
京 	200978439	1126329
uns 	200845450	3979034
石 	200843890	1168977
chicago 	200807794	5797799
unit 	200708481	6973549
ッ 	200516164	608675
delle 	200284063	1913637
ta 	199908493	9014417
training 	199450273	6047235
dat 	199406480	2626358
late 	199398275	9080945
statement 	199381006	7028822
gegen 	199326611	2162215
thing 	199137284	6731944
going 	198934871	7505873
千 	198659671	1172535
oct 	198656219	4730794
ε 	197627744	255680
いた 	197542515	512571
quod 	197525542	1879969
knowledge 	197390739	8134403
seems 	197260829	7643236
与 	197127448	875929
最 	197057412	1136655
位 	197040129	1141523
情 	196610270	1139794
因 	196535574	1117542
fe 	196419998	7860478
students 	196311031	5649371
published 	196300445	8434941
loss 	196174232	7984536
quality 	196060351	7526184
res 	195546364	8072269
古 	195486852	1150585
space 	195475812	7641734
notice 	195320151	7325507
110 	194752611	12404022
1970 	194564812	5733071
1980 	194348308	5113330
practice 	194337300	7785940
director 	194188144	6763735
clear 	194062053	8386346
日本 	194051322	959391
situation 	193970198	9243491
起 	193955169	1135400
rights 	193637651	6594207
congress 	193630800	6030454
smith 	193212439	7400283
经 	193069262	449838
perhaps 	193003549	7513873
want 	192618793	7007453
az 	192611541	2982695
function 	192418051	6671401
return 	192147690	8583299
paul 	192146235	8713534
written 	191924152	7961889
language 	191899943	6822593
基 	191556338	1150934
aug 	191474336	5449651
府 	191389264	1104250
sale 	191186367	7661440
love 	191079335	5997014
western 	190919367	7276752
help 	190835894	8192781
limited 	190695952	8255721
established 	190686469	8139406
motion 	190667501	6146259
grande 	190653782	5201007
theory 	190647055	6700897
carried 	190296998	8053039
probably 	190054885	7751373
specific 	189964895	7192151
costs 	189906806	5423077
kg 	189903731	3169156
до 	189898991	966589
administration 	189647735	7029648
η 	189632923	210951
simple 	189358675	9969246
usually 	189254486	7838420
nie 	189245380	3987737
century 	189243339	6910018
論 	188532150	859510
ihre 	188391000	2496149
principal 	188346007	9561418
ヒ 	188344138	627938
sales 	188311817	5316610
少 	188236319	1172195
レ 	188145924	619190
考 	188113632	1152139
ても 	188020528	525955
final 	187997525	9912887
義 	187985934	915425
forms 	187247733	8204120
especially 	187132871	8273294
character 	187028091	7776677
proposed 	186844101	6895723
brown 	186811344	7385537
enough 	186699029	7994214
encore 	186647904	2340518
related 	186526742	7759605
steel 	186096356	5265759
twenty 	186072818	7500778
reports 	186070681	7350035
close 	185582629	8977838
seiner 	185384058	2206234
たか 	185329037	510005
call 	185175309	8079101
hundred 	185156749	7162994
fund 	185125659	5765803
list 	185105193	9149885
員 	184997422	839663
decision 	184890382	7699406
code 	184753532	6053498
区 	184654218	829052
改 	184588107	1130730
parties 	184540425	6745573
によ 	184156269	508839
shows 	184076470	8071374
マ 	184011676	622278
activity 	183782553	6960642
workers 	183674288	5446050
blood 	183199747	5692933
fi 	183156852	8459410
agreement 	183034002	6267945
sept 	183024089	5645357
产 	182972015	563861
louis 	182954212	6947456
科 	182937469	1140209
around 	182917778	7923182
活 	182757066	1096621
vii 	182752014	10749445
式 	182657812	1148992
任 	182575437	1134739
leurs 	182423455	2304399
展 	182364048	1083107
ti 	182349475	8787465
project 	182212314	6426765
stand 	182203108	9484353
moment 	182113620	8786156
include 	182081537	7808096
night 	181628118	6573696
applied 	181411329	7951473
month 	181327532	7163840
1975 	181014535	5152956
信 	180904323	1150371
door 	180901059	5940165
says 	180699866	5870130
heart 	180598697	6421199
ap 	180300307	9228963
со 	180200449	1093407
問 	180172930	835151
station 	180096549	7344629
05 	180026997	6405285
д 	179812767	1224325
til 	179778417	4022365
worden 	179750888	2295600
added 	179733627	8252960
army 	179606449	5429196
mon 	179555313	8559136
soon 	179372225	7896778
presented 	178958084	8257112
io 	178943469	8115539
去 	178768384	1131128
官 	178512478	1131063
became 	178410792	7514256
院 	178279272	1108003
allfields:1880 	178241540	4041752
allfieldsProper:1880 	178241540	4041752
placed 	178016221	8108864
pres 	177867234	7005364
gave 	177751814	7581322
06 	177607934	5779862
reference 	177590638	8236170
relations 	177522582	8048486
selbst 	177442290	1944031
allfields:osu 	177244736	1303481
allfieldsProper:osu 	177228499	1303470
ai 	177194044	7695536
influence 	177193360	8641605
命 	177168749	1154664
strong 	176819233	8191713
look 	176636846	7641801
必 	176595973	1152615
week 	176587761	6898358
想 	176555283	1121935
india 	176414518	5559706
105 	176317996	12755827
fort 	175849417	7772257
400 	175754256	10305088
california 	175606503	7084736
ohne 	175558623	2179689
コ 	175450789	630150
ihr 	175418214	2334282
latter 	175383865	7764159
direction 	175304510	9170362
additional 	175129978	7830009
officers 	175087326	5243659
passed 	174862754	7272450
mich 	174464489	3859168
berlin 	174362290	6259981
degree 	174269432	8016507
weight 	174181679	6980296
n'est 	174131200	2240081
february 	174034158	6529824
soil 	174018942	5624062
employees 	173863263	4198632
jr 	173809759	6632686
cf 	173807953	5816084
量 	173776636	1150162
peu 	173675823	2448244
activities 	173549840	6000355
feb 	173226243	4498585
military 	173198128	5463193
sense 	173118188	7900197
علي 	173105875	314016
土 	173088839	1155176
lake 	173047090	5597870
believe 	172964287	7060678
字 	172933405	1158421
cells 	172877847	3173945
za 	172826539	4087871
fut 	172443280	2457412
cross 	172417523	7970457
waren 	172332904	2091306
attention 	172062550	8982235
od 	171764133	4901217
inter 	171752060	11043924
produced 	171695397	7786785
disease 	171602134	4952022
plants 	171570616	5472480
1976 	171341291	4802180
coal 	171333412	4358124
2000 	171177119	6704398
1978 	171141520	4615751
effective 	171139385	7425624
rules 	171028681	6676878
1990 	170913652	3889770
ainsi 	170798613	2079110
1985 	170675696	4249112
1973 	170380077	5045828
関 	170295175	593054
former 	170070158	8901279
father 	170039623	5460840
chairman 	169944834	4255440
author 	169889785	7179996
ter 	169841878	10296310
キ 	169656380	622018
apres 	169595255	2335895
wood 	169582454	7253428
美 	169496520	1142489
102 	169371520	12637363
1974 	169198348	4918631
joseph 	169075032	7172667
mir 	169051608	3911760
proper 	169043557	7869912
role 	168955465	7388563
hospital 	168947331	5425214
1972 	168877335	5128150
士 	168872521	1161853
don 	168767373	8069822
mai 	168662018	5230184
1979 	168632196	4530759
α 	168581527	273976
electric 	168560921	4894217
purposes 	168498414	7590828
研究 	168454179	889980
duty 	168363147	6069232
1971 	168130090	5198486
relation 	168107165	8761418
引 	168049817	1158107
financial 	167985977	5758162
1977 	167977032	4668185
るか 	167710390	516543
judgment 	167676948	5255929
appear 	167634442	8239856
justice 	167583851	6485362
observed 	167152504	7079785
sua 	167123900	2783873
trial 	166844331	6021421
103 	166703168	12700742
后 	166640179	829100
modern 	166480964	8017101
1981 	166460155	4502988
はな 	166418103	506380
text 	166294943	7771704
故 	166191161	1112500
近 	166085901	1142976
farm 	166080685	5419012
太 	165910230	1142642
対 	165906098	568329
支 	165858050	1139162
equal 	165809410	7949536
1965 	165802531	5652459
goods 	165799574	5208986
included 	165734144	8172483
木 	165654720	1139053
商 	165356395	1111810
employment 	165275024	5496240
なる 	165270627	514803
記 	165265952	871545
1982 	164938907	4289173
fit 	164839054	9009945
反 	164653264	1123009
presence 	164597295	8505590
1968 	164533822	5401664
交 	164514742	1145476
green 	164510452	7502830
云 	164438381	986205
developed 	164327968	7581299
prices 	164234591	4671537
受 	164215235	1142838
身 	164150388	1160784
operations 	164051254	7188303
var 	164033368	4104858
port 	163983088	8258787
1967 	163973415	5380848
nao 	163759416	1046335
keep 	163382384	7896151
1969 	163355306	5296805
commerce 	163327247	6244476
指 	163225848	1119604
island 	163178758	6319381
credit 	163066411	6992896
determined 	163052153	7872441
temps 	162974762	2710303
physical 	162924227	7321172
09 	162792282	5656766
104 	162586157	12587531
wurden 	162451537	1866886
indian 	162097677	5467052
計 	162034475	853699
条 	162003028	933476
州 	161919511	1127360
04 	161901218	5885106
cut 	161726407	8175289
miss 	161649064	6549084
flow 	161610716	6463304
difference 	161576374	8852476
recent 	161568439	8559129
solo 	161545684	4242011
nun 	161339956	4156478
機 	161169513	845055
moins 	161098702	2049621
cas 	161076462	5369964
defendant 	161005519	1714453
1983 	161001158	4176491
産 	160956622	690983
formation 	160910569	7851969
発 	160859489	564910
ohio 	160722373	4375590
们 	160700227	428777
же 	160663034	786575
something 	160656632	6643000
造 	160633440	1132776
organization 	160551082	6090381
これ 	160518891	504837
町 	160482530	891224
1984 	160472467	4144191
questions 	160461304	8331586
氏 	160418919	1083627
250 	160418107	11170757
1986 	160156444	3867272
product 	160151399	6430264
或 	160141892	1016588
poor 	160085410	7618336
fin 	160060415	7288822
min 	160050703	7253123
living 	160048926	7614993
provisions 	160046840	5127904
univ 	160040693	3264284
125 	160025273	12745991
zwischen 	159814669	2229241
soc 	159781068	4073466
昭 	159725277	1010602
trust 	159706055	5997164
ya 	159685379	4227298
staff 	159611579	6296029
開 	159536308	849205
gold 	159235059	7058537
ss 	159205592	7768882
conference 	159201287	6141790
resources 	159149858	6179895
1966 	159098989	5416149
里 	159046580	1101782
sei 	158946897	3962255
城 	158788870	1128188
ave 	158688313	4549367
legal 	158673816	7170519
野 	158627141	1134323
ix 	158575156	10678963
extent 	158404438	7832746
着 	158299030	1050106
chemical 	158291415	4811109
david 	158163432	7724795
ff 	158125717	5814160
料 	157959870	1133293
々 	157944483	801111
界 	157845526	1117210
institute 	157844692	6976514
asked 	157839252	6507724
1987 	157765956	3743128
programs 	157763758	3699832
funds 	157578920	5099041
nearly 	157533675	7696163
regard 	157532833	8495092
senate 	157365408	3126347
るの 	157355012	507856
務 	157324460	823307
育 	157114556	1091543
學 	157112258	607305
top 	156846227	8116879
address 	156801143	6671993
engineering 	156506074	4439728
metal 	156446495	6244257
meet 	156414321	8081587
1960 	156274382	5986306
